id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
flea,1,483,1818,84927,0.87,3442,43,57124,64196,281724,fail=0;large=43,6.02,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.03
nautilus,1,955,20564,184542,11.30,0,641,82144,176416,194468,fail=0;large=641,125.01,heic=13;jpg=0;mkv=100;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-,15.75
thunar,1,584,13239,39759,7.47,63320,221,23736,27340,0,fail=0;large=0;normal=221,21.03,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.82
pcmanfm,1,438,-1,40511,40.95,0,687,17432,29312,0,fail=0;large=0;normal=687,157.27,heic=0;jpg=0;mkv=100;mp4=400;png=87;txt=0;webm=100;webp=0;unknown=0,yes,-,103.08
nemo,1,864,3636,55269,2.46,0,60,29520,43860,0,fail=0;large=60,9.10,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.57
dolphin,1,804,14449,101349,8.48,0,670,50164,83848,0,fail=0;large=670,72.07,heic=0;jpg=224;mkv=74;mp4=298;png=0;txt=0;webm=74;webp=0;unknown=0,yes,-,68.33
strata,1,551,3060,75509,0.97,0,42,42752,69504,122384,fail=0;large=42,7.07,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.18
yazi,1,296,2073,48659,0.31,0,n/a,31980,48444,0,fail=0;large=0,1.68,n/a,n/a: tui in kitty,133,1.20
mc,1,295,957,5468,0.04,0,n/a,3488,5172,0,fail=0;large=0,0.89,n/a,n/a: tui in kitty,-1,0.04
broot,1,302,526,4170,0.01,0,n/a,712,4132,0,fail=0;large=0,0.44,n/a,n/a: tui in kitty,-1,0.01
nnn,1,321,600,2558,0.03,0,n/a,1980,2452,0,fail=0;large=0,0.61,n/a,n/a: tui in kitty,132,0.03
lf,1,298,714,16328,0.15,0,n/a,13316,14144,0,fail=0;large=0,0.64,n/a,n/a: tui in kitty,134,0.15
ranger,1,298,967,29830,0.30,0,n/a,27080,27888,0,fail=0;large=0,0.75,n/a,n/a: tui in kitty,135,0.31
xplr,1,296,638,14156,0.19,0,n/a,9312,14088,0,fail=0;large=0,0.67,n/a,n/a: tui in kitty,-1,0.19
superfile,1,324,1353,157692,0.44,0,n/a,142656,157584,0,fail=0;large=0,1.42,n/a,n/a: tui in kitty,-1,0.87
flea,2,404,1744,84959,0.82,3374,43,57064,64272,281724,fail=0;large=43,6.17,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,0.96
nautilus,2,923,20200,185530,10.81,0,641,82908,177424,196520,fail=0;large=641,125.08,heic=13;jpg=0;mkv=100;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-,14.92
thunar,2,568,13116,39734,7.40,58374,221,23716,27332,0,fail=0;large=0;normal=221,21.02,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.81
pcmanfm,2,423,-1,40526,41.22,0,688,17384,29328,0,fail=0;large=0;normal=688,158.60,heic=0;jpg=0;mkv=100;mp4=400;png=88;txt=0;webm=100;webp=0;unknown=0,yes,-,103.26
nemo,2,860,3599,55467,2.40,0,60,29796,44124,0,fail=0;large=60,8.97,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.50
dolphin,2,761,13809,91236,5.25,0,500,40192,63508,0,fail=0;large=500,67.50,heic=0;jpg=50;mkv=75;mp4=300;png=0;txt=0;webm=75;webp=0;unknown=0,yes,-,65.93
strata,2,553,2850,76047,0.98,0,42,42712,70128,122384,fail=0;large=42,7.08,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.19
yazi,2,295,1726,50696,0.30,0,n/a,33352,50476,0,fail=0;large=0,1.68,n/a,n/a: tui in kitty,133,1.19
mc,2,298,943,5439,0.04,0,n/a,3492,5152,0,fail=0;large=0,0.85,n/a,n/a: tui in kitty,-1,0.04
broot,2,302,532,4133,0.01,0,n/a,712,4088,0,fail=0;large=0,0.45,n/a,n/a: tui in kitty,-1,0.01
nnn,2,324,594,2528,0.03,0,n/a,1976,2424,0,fail=0;large=0,0.63,n/a,n/a: tui in kitty,133,0.03
lf,2,316,722,18264,0.16,0,n/a,15296,15996,0,fail=0;large=0,0.65,n/a,n/a: tui in kitty,133,0.16
ranger,2,295,962,29839,0.31,0,n/a,27076,27896,0,fail=0;large=0,0.76,n/a,n/a: tui in kitty,131,0.32
xplr,2,299,645,14346,0.18,0,n/a,9288,14288,0,fail=0;large=0,0.68,n/a,n/a: tui in kitty,-1,0.18
superfile,2,319,1335,157337,0.43,0,n/a,142568,157232,0,fail=0;large=0,1.40,n/a,n/a: tui in kitty,134,0.86
flea,3,410,1804,84996,0.79,3387,43,57260,64400,281724,fail=0;large=43,6.00,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,0.92
