id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
flea,1,424,915,72259,0.41,6936,n/a,48484,55664,148216,-,0.64,-,yes,-,0.59
nautilus,1,907,84027,341791,19.25,0,n/a,311312,333696,141564,-,19.26,-,yes,-,19.25
thunar,1,608,23102,356233,22.62,28213,n/a,338980,345508,0,-,22.92,-,yes,-,22.84
pcmanfm,1,444,37079,112514,25.63,0,n/a,95388,101296,0,-,25.70,-,yes,-,25.63
nemo,1,991,23884,470923,26.65,0,n/a,451572,459684,0,-,26.80,-,yes,-,26.65
dolphin,1,735,5415,202983,9.23,0,n/a,145296,168408,0,-,9.32,-,yes,-,9.23
strata,1,588,3263,110164,2.93,0,n/a,73680,106084,97760,-,3.13,-,yes,-,3.12
yazi,1,302,1986,123416,2.88,0,n/a,108328,123184,0,-,3.34,-,yes,-,2.88
mc,1,298,2611,44770,0.94,0,n/a,43092,44584,0,-,1.76,-,yes,-,0.94
broot,1,304,533,4169,0.01,0,n/a,708,4128,0,-,0.45,-,yes,-,0.01
nnn,1,279,2124,10909,0.82,0,n/a,10328,10828,0,-,1.40,-,yes,-,0.82
lf,1,283,2146,102202,1.09,0,n/a,99388,99788,0,-,1.57,-,yes,-,1.09
ranger,1,281,9161,640315,7.26,0,n/a,637664,638464,0,-,7.78,-,yes,-,7.26
xplr,1,323,3752,221534,2.43,0,n/a,216544,221472,0,-,2.91,-,yes,-,2.43
superfile,1,304,2596,94285,1.18,0,n/a,79512,94176,0,-,1.61,-,yes,-,1.18
flea,2,409,924,73628,0.44,6862,n/a,49808,56992,148344,-,0.69,-,yes,-,0.63
nautilus,2,849,84320,342865,19.02,0,n/a,312364,334852,141564,-,19.03,-,yes,-,19.02
thunar,2,570,23206,355717,22.74,28406,n/a,338488,345016,0,-,23.02,-,yes,-,22.95
pcmanfm,2,480,36540,112569,25.34,0,n/a,95364,101336,0,-,25.40,-,yes,-,25.34
nemo,2,824,23300,470841,26.80,0,n/a,451484,459548,0,-,26.96,-,yes,-,26.80
dolphin,2,754,5394,207868,9.18,0,n/a,145272,177800,0,-,9.26,-,yes,-,9.18
strata,2,594,3427,110429,3.05,0,n/a,73996,106336,97760,-,3.25,-,yes,-,3.23
yazi,2,302,2045,116969,2.93,0,n/a,102224,116772,0,-,3.42,-,yes,-,2.93
mc,2,284,2505,43715,0.92,0,n/a,41608,43420,0,-,1.73,-,yes,-,0.92
broot,2,300,525,4131,0.01,0,n/a,712,4088,0,-,0.44,-,yes,-,0.01
nnn,2,296,2090,10922,0.82,0,n/a,10324,10816,0,-,1.37,-,yes,-,0.82
lf,2,288,2236,91934,1.08,0,n/a,88888,89768,0,-,1.57,-,yes,-,1.08
ranger,2,281,8962,640244,7.20,0,n/a,637608,638424,0,-,7.70,-,yes,-,7.20
xplr,2,298,3627,223005,2.40,0,n/a,217932,222944,0,-,2.87,-,yes,-,2.40
superfile,2,281,2529,96385,1.15,0,n/a,81568,96272,0,-,1.60,-,yes,-,1.15
flea,3,401,894,73738,0.41,6798,n/a,49836,57040,148216,-,0.65,-,yes,-,0.59
nautilus,3,866,83866,341477,18.93,0,n/a,311024,333440,141564,-,18.95,-,yes,-,18.93
thunar,3,583,22987,355550,22.51,28370,n/a,338336,344780,0,-,22.80,-,yes,-,22.72
pcmanfm,3,482,36356,112620,25.21,0,n/a,95456,101380,0,-,25.27,-,yes,-,25.21
nemo,3,820,22852,470865,26.21,0,n/a,451528,459624,0,-,26.37,-,yes,-,26.21
dolphin,3,685,5300,208082,9.12,0,n/a,145312,178352,0,-,9.20,-,yes,-,9.12
strata,3,584,3181,110697,2.85,0,n/a,74196,106624,97760,-,3.06,-,yes,-,3.05
yazi,3,299,2019,116941,2.96,0,n/a,101988,116740,0,-,3.43,-,yes,-,2.96
mc,3,243,2514,44753,0.92,0,n/a,43096,44544,0,-,1.74,-,yes,-,0.92
broot,3,303,486,4304,0.01,0,n/a,712,4264,0,-,0.46,-,yes,-,0.01
nnn,3,305,2072,10921,0.80,0,n/a,10328,10824,0,-,1.37,-,yes,-,0.80
lf,3,303,2338,96136,1.07,0,n/a,93136,93852,0,-,1.54,-,yes,-,1.07
ranger,3,289,9046,640351,7.25,0,n/a,637668,638516,0,-,7.75,-,yes,-,7.25
xplr,3,304,3735,222765,2.46,0,n/a,217928,222712,0,-,2.96,-,yes,-,2.46
superfile,3,307,2645,98457,1.17,0,n/a,83768,98348,0,-,1.61,-,yes,-,1.17
